setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	4	15921	200	2	F	Stroll	12.502	N	-47.1362	-69.5923	NA	NA	NA	NA	NA	NA	NA
something	4	15922	200	1	F	Stroll	8.16672	N	-34.8762	-74.1343	NA	NA	NA	NA	NA	NA	NA
something	4	15923	200	4	M	Search	21.0968	NA	-36.4788	-87.8044	NA	NA	NA	NA	NA	NA	NA
something	4	15924	200	3	M	Withdraw	47.3651	NA	-43.7121	-76.3254	1	F	None	8.16672	N	-34.8762	-74.1343
something	4	15925	200	2	F	Withdraw	12.502	N	-47.8829	-67.7369	3	M	None	47.3651	NA	-43.7121	-76.3254
something	4	15926	200	4	M	Search	21.0968	NA	-36.2887	-86.8226	NA	NA	NA	NA	NA	NA	NA
something	4	15927	200	1	F	Stroll	8.16672	N	-35.501	-74.9151	NA	NA	NA	NA	NA	NA	NA
something	4	15928	200	2	F	Search	12.502	N	-48.8106	-68.1103	NA	NA	NA	NA	NA	NA	NA
something	4	15929	200	4	M	Stroll	21.0968	NA	-36.468	-85.8388	NA	NA	NA	NA	NA	NA	NA
something	4	15930	200	3	M	Stroll	47.3651	NA	-43.8013	-75.3294	NA	NA	NA	NA	NA	NA	NA
something	4	15931	200	1	F	Stroll	8.16672	N	-36.3976	-75.358	NA	NA	NA	NA	NA	NA	NA
something	4	15932	200	4	M	Stroll	21.0968	NA	-36.9134	-84.9435	NA	NA	NA	NA	NA	NA	NA
something	4	15933	200	2	F	Search	12.502	N	-48.4372	-69.038	NA	NA	NA	NA	NA	NA	NA
something	4	15934	200	3	M	Flee	46.5739	NA	-43.3852	-77.2856	2	F	Fight	13.2932	N	-47.844	-69.843
something	4	15935	200	1	F	Withdraw	8.16672	N	-34.5723	-76.1755	3	M	None	46.5739	NA	-43.3852	-77.2856
something	4	15936	200	4	M	Stroll	21.0968	NA	-37.4746	-84.1158	NA	NA	NA	NA	NA	NA	NA
something	4	15937	200	2	F	Stroll	13.2932	N	-47.1488	-70.5618	NA	NA	NA	NA	NA	NA	NA
something	4	15938	200	1	F	Search	8.16672	N	-34.981	-77.0881	NA	NA	NA	NA	NA	NA	NA
something	4	15939	200	4	M	Fight	21.3758	NA	-37.1402	-83.1733	1	F	Flee	7.88764	N	-34.9507	-75.0884
