setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	1	15921	200	4	M	Search	35.0579	NA	16.9758	-168.834	NA	NA	NA	NA	NA	NA	NA
something	1	15922	200	2	F	Search	1e-05	N	8.86134	-177.547	NA	NA	NA	NA	NA	NA	NA
something	1	15923	200	3	M	Stroll	37.9843	NA	11.7522	-162.538	NA	NA	NA	NA	NA	NA	NA
something	1	15924	200	1	F	Groom	15.3058	N	7.07297	-168.701	3	M	Groomed	37.9843	NA	11.7522	-162.538
something	1	15925	200	2	F	Stroll	1e-05	N	8.77445	-176.551	NA	NA	NA	NA	NA	NA	NA
something	1	15926	200	4	M	Stroll	35.0579	NA	16.7462	-169.808	NA	NA	NA	NA	NA	NA	NA
something	1	15927	200	3	M	Flee	37.2715	NA	13.5428	-161.647	1	F	Fight	16.0186	N	7.67763	-167.905
something	1	15928	200	2	F	Stroll	1e-05	N	9.36898	-175.747	NA	NA	NA	NA	NA	NA	NA
something	1	15929	200	4	M	Stroll	35.0579	NA	16.8171	-170.805	NA	NA	NA	NA	NA	NA	NA
something	1	15930	200	3	M	Search	37.2715	NA	13.0973	-160.752	NA	NA	NA	NA	NA	NA	NA
something	1	15931	200	1	F	Stroll	16.0186	N	8.6511	-168.134	NA	NA	NA	NA	NA	NA	NA
something	1	15932	200	2	F	Groom	1e-05	N	9.36898	-175.747	1	F	Groomed	16.0186	N	8.6511	-168.134
something	1	15933	200	4	M	Search	35.0579	NA	15.8196	-170.876	NA	NA	NA	NA	NA	NA	NA
something	1	15934	200	3	M	Search	37.2715	NA	12.202	-161.197	NA	NA	NA	NA	NA	NA	NA
something	1	15935	200	1	F	Fight	16.0186	N	8.74498	-169.129	2	F	Flee	1e-05	N	8.43408	-177.515
something	1	15936	200	4	M	Fight	35.3716	NA	14.8488	-170.636	1	F	Flee	15.7049	N	6.74663	-169.211
something	1	15937	200	3	M	Stroll	37.2715	NA	11.3623	-161.74	NA	NA	NA	NA	NA	NA	NA
something	1	15938	200	2	F	Search	1e-05	N	7.55006	-177.048	NA	NA	NA	NA	NA	NA	NA
something	1	15939	200	4	M	Stroll	35.3716	NA	14.1821	-171.382	NA	NA	NA	NA	NA	NA	NA
something	1	15940	200	3	M	Stroll	37.2715	NA	10.411	-162.048	NA	NA	NA	NA	NA	NA	NA
something	1	15941	200	2	F	Groom	1e-05	N	7.55006	-177.048	1	F	Groomed	15.7049	N	6.74663	-169.211
something	1	15942	200	4	M	Stroll	35.3716	NA	13.8097	-172.31	NA	NA	NA	NA	NA	NA	NA
something	1	15943	200	3	M	Stroll	37.2715	NA	9.41229	-162.099	NA	NA	NA	NA	NA	NA	NA
something	1	15944	200	2	F	Withdraw	1e-05	N	7.26408	-179.027	4	M	None	35.3716	NA	13.8097	-172.31
something	1	15945	200	1	F	Stroll	15.7049	N	7.45135	-169.92	NA	NA	NA	NA	NA	NA	NA
something	1	15946	200	3	M	Search	37.2715	NA	9.4636	-163.098	NA	NA	NA	NA	NA	NA	NA
something	1	15947	200	4	M	Flee	34.679	NA	15.1572	-173.788	1	F	Fight	16.3975	N	8.38743	-170.272
something	1	15948	200	2	F	Search	1e-05	N	6.27436	-178.884	NA	NA	NA	NA	NA	NA	NA
something	1	15949	200	3	M	Flee	36.577	NA	8.43958	-161.38	1	F	Fight	17.0919	N	8.53579	-169.283
something	1	15950	200	4	M	Search	34.679	NA	15.8961	-173.114	NA	NA	NA	NA	NA	NA	NA
something	1	15951	200	2	F	Search	1e-05	N	6.13137	-179.874	NA	NA	NA	NA	NA	NA	NA
something	1	15952	200	1	F	Groom	17.0919	N	8.53579	-169.283	3	M	Groomed	36.577	NA	8.43958	-161.38
something	1	15953	200	4	M	Search	34.679	NA	15.2224	-172.375	NA	NA	NA	NA	NA	NA	NA
something	1	15954	200	2	F	Search	1e-05	N	7.12109	-180.017	NA	NA	NA	NA	NA	NA	NA
something	1	15955	200	3	M	Withdraw	36.577	NA	7.07088	-159.922	1	F	None	17.0919	N	8.53579	-169.283
something	1	15956	200	4	M	Fight	35.0092	NA	14.3147	-171.955	1	F	Flee	16.7618	N	6.85248	-168.203
something	1	15957	200	2	F	Stroll	1e-05	N	8.09888	-179.807	NA	NA	NA	NA	NA	NA	NA
something	1	15958	200	3	M	Search	36.577	NA	6.34173	-160.606	NA	NA	NA	NA	NA	NA	NA
something	1	15959	200	1	F	Withdraw	16.7618	N	7.03115	-170.195	3	M	None	36.577	NA	6.34173	-160.606
something	1	15960	200	4	M	Fight	35.3329	NA	13.3427	-171.72	1	F	Flee	16.438	N	5.03115	-170.199
something	1	15961	200	2	F	Stroll	1e-05	N	8.80779	-179.102	NA	NA	NA	NA	NA	NA	NA
something	1	15962	200	3	M	Stroll	36.577	NA	6.79175	-161.499	NA	NA	NA	NA	NA	NA	NA
something	1	15963	200	4	M	Stroll	35.3329	NA	12.4872	-172.238	NA	NA	NA	NA	NA	NA	NA
something	1	15964	200	2	F	Groom	1e-05	N	8.80779	-179.102	4	M	Groomed	35.3329	NA	12.4872	-172.238
something	1	15965	200	3	M	Stroll	36.577	NA	7.15637	-162.43	NA	NA	NA	NA	NA	NA	NA
something	1	15966	200	4	M	Fight	35.3329	NA	12.0148	-173.119	2	F	Flee	1e-05	N	7.19392	-180.283
something	1	15967	200	1	F	Search	16.438	N	5.03329	-171.199	NA	NA	NA	NA	NA	NA	NA
something	1	15968	200	3	M	Stroll	36.577	NA	7.78436	-163.209	NA	NA	NA	NA	NA	NA	NA
something	1	15969	200	2	F	Search	1e-05	N	7.78455	-181.09	NA	NA	NA	NA	NA	NA	NA
something	1	15970	200	4	M	Stroll	35.3329	NA	11.6206	-174.038	NA	NA	NA	NA	NA	NA	NA
something	1	15971	200	1	F	Stroll	16.438	N	5.32554	-172.156	NA	NA	NA	NA	NA	NA	NA
something	1	15972	200	3	M	Stroll	36.577	NA	8.42314	-163.978	NA	NA	NA	NA	NA	NA	NA
something	1	15973	200	4	M	Stroll	35.3329	NA	11.4641	-175.026	NA	NA	NA	NA	NA	NA	NA
something	1	15974	200	1	F	Flee	16.184	N	3.42241	-171.541	4	M	Fight	35.587	NA	10.5583	-174.603
something	1	15975	200	3	M	Stroll	36.577	NA	8.52225	-164.973	NA	NA	NA	NA	NA	NA	NA
something	1	15976	200	2	F	Search	1e-05	N	8.59149	-180.499	NA	NA	NA	NA	NA	NA	NA
something	1	15977	200	1	F	Search	16.184	N	3.72984	-170.589	NA	NA	NA	NA	NA	NA	NA
something	1	15978	200	4	M	Fight	35.587	NA	10.2419	-175.551	2	F	Flee	1e-05	N	7.00467	-181.717
something	1	15979	200	3	M	Fight	36.8838	NA	7.87313	-165.734	1	F	Flee	15.8773	N	2.1825	-171.856
something	1	15980	200	2	F	Search	1e-05	N	7.61336	-182.51	NA	NA	NA	NA	NA	NA	NA
something	1	15981	200	4	M	Fight	35.587	NA	9.88852	-176.487	2	F	Flee	1e-05	N	5.92857	-183.588
something	1	15982	200	1	F	Search	15.8773	N	1.54891	-171.083	NA	NA	NA	NA	NA	NA	NA
something	1	15983	200	3	M	Stroll	36.8838	NA	6.88933	-165.554	NA	NA	NA	NA	NA	NA	NA
something	1	15984	200	2	F	Search	1e-05	N	6.46743	-184.43	NA	NA	NA	NA	NA	NA	NA
something	1	15985	200	4	M	Stroll	35.587	NA	9.04915	-177.03	NA	NA	NA	NA	NA	NA	NA
something	1	15986	200	1	F	Search	15.8773	N	2.32258	-170.449	NA	NA	NA	NA	NA	NA	NA
something	1	15987	200	3	M	Fight	37.1847	NA	6.20714	-166.286	1	F	Flee	15.5763	N	0.384326	-170.942
something	1	15988	200	2	F	Search	1e-05	N	5.62503	-184.969	NA	NA	NA	NA	NA	NA	NA
something	1	15989	200	4	M	Stroll	35.587	NA	8.0944	-177.328	NA	NA	NA	NA	NA	NA	NA
something	1	15990	200	1	F	Search	15.5763	N	0.137762	-169.973	NA	NA	NA	NA	NA	NA	NA
something	1	15991	200	3	M	Flee	36.4799	NA	7.786	-165.058	1	F	Fight	16.2811	N	0.992397	-169.454
something	1	15992	200	2	F	Search	1e-05	N	5.08617	-184.127	NA	NA	NA	NA	NA	NA	NA
something	1	15993	200	4	M	Fight	35.587	NA	7.6898	-178.242	2	F	Flee	1e-05	N	5.55741	-186.071
something	1	15994	200	1	F	Stroll	16.2811	N	1.84081	-168.924	NA	NA	NA	NA	NA	NA	NA
something	1	15995	200	2	F	Search	1e-05	N	6.52925	-185.835	NA	NA	NA	NA	NA	NA	NA
something	1	15996	200	4	M	Search	35.587	NA	8.05034	-179.175	NA	NA	NA	NA	NA	NA	NA
something	1	15997	200	3	M	Search	36.4799	NA	7.17216	-164.268	NA	NA	NA	NA	NA	NA	NA
something	1	15998	200	1	F	Withdraw	16.2811	N	1.32115	-170.856	3	M	None	36.4799	NA	7.17216	-164.268
something	1	15999	200	2	F	Search	1e-05	N	6.76487	-186.807	NA	NA	NA	NA	NA	NA	NA
something	1	16000	200	4	M	Fight	35.587	NA	7.88425	-180.161	2	F	Flee	1e-05	N	5.56195	-188.405
something	1	16001	201	3	M	Stroll	36.4799	NA	6.83417	-165.21	NA	NA	NA	NA	NA	NA	NA
something	1	16002	201	2	F	Search	1e-05	N	6.36085	-189.006	NA	NA	NA	NA	NA	NA	NA
something	1	16003	201	4	M	Stroll	35.587	NA	6.89006	-180.269	NA	NA	NA	NA	NA	NA	NA
something	1	16004	201	1	F	Stroll	16.2811	N	1.43053	-171.85	NA	NA	NA	NA	NA	NA	NA
something	1	16005	201	3	M	Stroll	36.4799	NA	6.22519	-166.003	NA	NA	NA	NA	NA	NA	NA
something	1	16006	201	2	F	Search	1e-05	N	5.75939	-189.805	NA	NA	NA	NA	NA	NA	NA
something	1	16007	201	4	M	Search	35.587	NA	6.99777	-181.263	NA	NA	NA	NA	NA	NA	NA
something	1	16008	201	1	F	Stroll	16.2811	N	1.45197	-172.85	NA	NA	NA	NA	NA	NA	NA
something	1	16009	201	3	M	Stroll	36.4799	NA	6.1112	-166.996	NA	NA	NA	NA	NA	NA	NA
something	1	16010	201	2	F	Search	1e-05	N	6.55829	-190.406	NA	NA	NA	NA	NA	NA	NA
something	1	16011	201	4	M	Stroll	35.587	NA	6.56337	-182.164	NA	NA	NA	NA	NA	NA	NA
something	1	16012	201	1	F	Stroll	16.2811	N	0.910573	-173.69	NA	NA	NA	NA	NA	NA	NA
something	1	16013	201	3	M	Stroll	36.4799	NA	5.80895	-167.95	NA	NA	NA	NA	NA	NA	NA
something	1	16014	201	2	F	Search	1e-05	N	5.95683	-191.205	NA	NA	NA	NA	NA	NA	NA
something	1	16015	201	4	M	Stroll	35.587	NA	6.88408	-183.111	NA	NA	NA	NA	NA	NA	NA
