setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	3	15921	200	4	M	Withdraw	32.0157	NA	109.511	-12.3531	3	M	None	46.092	NA	105.91	-20.5902
something	3	15922	200	2	F	Stroll	8.68167	N	99.7575	-14.5564	NA	NA	NA	NA	NA	NA	NA
something	3	15923	200	1	F	Search	9.21061	N	113.856	-26.4813	NA	NA	NA	NA	NA	NA	NA
something	3	15924	200	4	M	Search	32.0157	NA	110.335	-12.9187	NA	NA	NA	NA	NA	NA	NA
something	3	15925	200	3	M	Stroll	46.092	NA	106.714	-19.9955	NA	NA	NA	NA	NA	NA	NA
something	3	15926	200	2	F	Stroll	8.68167	N	100.489	-13.8747	NA	NA	NA	NA	NA	NA	NA
something	3	15927	200	1	F	Search	9.21061	N	113.039	-25.9052	NA	NA	NA	NA	NA	NA	NA
something	3	15928	200	4	M	Stroll	32.0157	NA	111.19	-13.4385	NA	NA	NA	NA	NA	NA	NA
something	3	15929	200	3	M	Fight	46.5019	NA	107.278	-19.1696	4	M	Flee	31.6058	NA	111.296	-11.4413
something	3	15930	200	2	F	Stroll	8.68167	N	100.669	-12.8909	NA	NA	NA	NA	NA	NA	NA
something	3	15931	200	1	F	Stroll	9.21061	N	112.164	-25.4204	NA	NA	NA	NA	NA	NA	NA
something	3	15932	200	4	M	Search	31.6058	NA	112.295	-11.4948	NA	NA	NA	NA	NA	NA	NA
something	3	15933	200	2	F	Search	8.68167	N	99.6847	-12.7115	NA	NA	NA	NA	NA	NA	NA
something	3	15934	200	3	M	Stroll	46.5019	NA	107.282	-18.1696	NA	NA	NA	NA	NA	NA	NA
something	3	15935	200	1	F	Stroll	9.21061	N	111.499	-24.674	NA	NA	NA	NA	NA	NA	NA
something	3	15936	200	2	F	Search	8.68167	N	99.5053	-13.6952	NA	NA	NA	NA	NA	NA	NA
something	3	15937	200	4	M	Search	31.6058	NA	112.349	-10.4962	NA	NA	NA	NA	NA	NA	NA
something	3	15938	200	3	M	Stroll	46.5019	NA	106.638	-17.4042	NA	NA	NA	NA	NA	NA	NA
something	3	15939	200	1	F	Stroll	9.21061	N	110.521	-24.4652	NA	NA	NA	NA	NA	NA	NA
something	3	15940	200	2	F	Stroll	8.68167	N	98.8272	-14.4302	NA	NA	NA	NA	NA	NA	NA
something	3	15941	200	4	M	Search	31.6058	NA	113.347	-10.5497	NA	NA	NA	NA	NA	NA	NA
something	3	15942	200	3	M	Stroll	46.5019	NA	106.668	-16.4047	NA	NA	NA	NA	NA	NA	NA
something	3	15943	200	1	F	Stroll	9.21061	N	109.876	-23.7008	NA	NA	NA	NA	NA	NA	NA
something	3	15944	200	4	M	Search	31.6058	NA	113.294	-11.5482	NA	NA	NA	NA	NA	NA	NA
something	3	15945	200	2	F	Search	8.68167	N	98.0922	-13.7521	NA	NA	NA	NA	NA	NA	NA
something	3	15946	200	3	M	Stroll	46.5019	NA	107.306	-15.634	NA	NA	NA	NA	NA	NA	NA
something	3	15947	200	1	F	Stroll	9.21061	N	108.924	-23.3958	NA	NA	NA	NA	NA	NA	NA
something	3	15948	200	2	F	Search	8.68167	N	97.4142	-14.4871	NA	NA	NA	NA	NA	NA	NA
something	3	15949	200	4	M	Flee	31.2012	NA	114.925	-10.3906	3	M	Fight	46.9066	NA	108.132	-15.0704
something	3	15950	200	1	F	Stroll	9.21061	N	107.928	-23.482	NA	NA	NA	NA	NA	NA	NA
something	3	15951	200	3	M	Stroll	46.9066	NA	107.783	-14.133	NA	NA	NA	NA	NA	NA	NA
something	3	15952	200	2	F	Search	8.68167	N	96.6792	-13.809	NA	NA	NA	NA	NA	NA	NA
something	3	15953	200	1	F	Stroll	9.21061	N	106.974	-23.1795	NA	NA	NA	NA	NA	NA	NA
something	3	15954	200	4	M	Search	31.2012	NA	114.346	-9.57514	NA	NA	NA	NA	NA	NA	NA
something	3	15955	200	3	M	Search	46.9066	NA	106.846	-14.4813	NA	NA	NA	NA	NA	NA	NA
something	3	15956	200	2	F	Search	8.68167	N	96.0011	-14.544	NA	NA	NA	NA	NA	NA	NA
something	3	15957	200	1	F	Stroll	9.21061	N	106.05	-23.5615	NA	NA	NA	NA	NA	NA	NA
something	3	15958	200	4	M	Search	31.2012	NA	115.161	-8.99631	NA	NA	NA	NA	NA	NA	NA
something	3	15959	200	3	M	Stroll	46.9066	NA	105.881	-14.7439	NA	NA	NA	NA	NA	NA	NA
something	3	15960	200	1	F	Search	9.21061	N	106.432	-24.4857	NA	NA	NA	NA	NA	NA	NA
something	3	15961	200	4	M	Search	31.2012	NA	115.74	-9.81175	NA	NA	NA	NA	NA	NA	NA
something	3	15962	200	2	F	Search	8.68167	N	95.2661	-13.866	NA	NA	NA	NA	NA	NA	NA
something	3	15963	200	3	M	Stroll	46.9066	NA	105.292	-15.5518	NA	NA	NA	NA	NA	NA	NA
something	3	15964	200	1	F	Search	9.21061	N	105.508	-24.8677	NA	NA	NA	NA	NA	NA	NA
something	3	15965	200	4	M	Search	31.2012	NA	114.925	-10.3906	NA	NA	NA	NA	NA	NA	NA
something	3	15966	200	2	F	Search	8.68167	N	94.588	-14.6009	NA	NA	NA	NA	NA	NA	NA
something	3	15967	200	3	M	Stroll	46.9066	NA	104.992	-16.5057	NA	NA	NA	NA	NA	NA	NA
something	3	15968	200	4	M	Stroll	31.2012	NA	114.056	-10.886	NA	NA	NA	NA	NA	NA	NA
something	3	15969	200	2	F	Search	8.68167	N	93.853	-13.9229	NA	NA	NA	NA	NA	NA	NA
something	3	15970	200	1	F	Search	9.21061	N	105.126	-23.9435	NA	NA	NA	NA	NA	NA	NA
something	3	15971	200	3	M	Flee	46.0707	NA	105.206	-14.5172	1	F	Fight	10.0465	N	105.108	-22.9437
something	3	15972	200	4	M	Stroll	31.2012	NA	113.16	-11.3307	NA	NA	NA	NA	NA	NA	NA
something	3	15973	200	2	F	Search	8.68167	N	94.5311	-13.1879	NA	NA	NA	NA	NA	NA	NA
something	3	15974	200	1	F	Stroll	10.0465	N	106.091	-22.7582	NA	NA	NA	NA	NA	NA	NA
something	3	15975	200	4	M	Stroll	31.2012	NA	112.187	-11.5604	NA	NA	NA	NA	NA	NA	NA
something	3	15976	200	2	F	Stroll	8.68167	N	94.7554	-12.2134	NA	NA	NA	NA	NA	NA	NA
something	3	15977	200	1	F	Stroll	10.0465	N	107.075	-22.9326	NA	NA	NA	NA	NA	NA	NA
something	3	15978	200	3	M	Search	46.0707	NA	106.2	-14.6241	NA	NA	NA	NA	NA	NA	NA
something	3	15979	200	2	F	Search	8.68167	N	95.7299	-12.4376	NA	NA	NA	NA	NA	NA	NA
something	3	15980	200	4	M	Groom	31.2012	NA	112.187	-11.5604	3	M	Groomed	46.0707	NA	106.2	-14.6241
something	3	15981	200	1	F	Search	10.0465	N	107.25	-21.9479	NA	NA	NA	NA	NA	NA	NA
something	3	15982	200	2	F	Stroll	8.68167	N	96.6389	-12.0207	NA	NA	NA	NA	NA	NA	NA
something	3	15983	200	4	M	Withdraw	31.2012	NA	112.868	-9.67995	3	M	None	46.0707	NA	106.2	-14.6241
something	3	15984	200	1	F	Withdraw	10.0465	N	108.242	-23.6847	3	M	None	46.0707	NA	106.2	-14.6241
something	3	15985	200	2	F	Stroll	8.68167	N	97.2472	-11.227	NA	NA	NA	NA	NA	NA	NA
something	3	15986	200	4	M	Search	31.2012	NA	113.808	-10.0205	NA	NA	NA	NA	NA	NA	NA
something	3	15987	200	1	F	Search	10.0465	N	107.373	-24.1806	NA	NA	NA	NA	NA	NA	NA
something	3	15988	200	3	M	Stroll	46.0707	NA	105.838	-15.5565	NA	NA	NA	NA	NA	NA	NA
something	3	15989	200	2	F	Stroll	8.68167	N	98.2256	-11.0201	NA	NA	NA	NA	NA	NA	NA
something	3	15990	200	1	F	Search	10.0465	N	107.869	-25.049	NA	NA	NA	NA	NA	NA	NA
something	3	15991	200	3	M	Stroll	46.0707	NA	105.596	-16.5267	NA	NA	NA	NA	NA	NA	NA
something	3	15992	200	4	M	Search	31.2012	NA	113.468	-10.9607	NA	NA	NA	NA	NA	NA	NA
something	3	15993	200	2	F	Stroll	8.68167	N	99.1127	-10.5586	NA	NA	NA	NA	NA	NA	NA
something	3	15994	200	1	F	Search	10.0465	N	107.001	-25.5448	NA	NA	NA	NA	NA	NA	NA
something	3	15995	200	4	M	Stroll	31.2012	NA	113.307	-11.9477	NA	NA	NA	NA	NA	NA	NA
something	3	15996	200	2	F	Stroll	8.68167	N	99.7248	-9.76778	NA	NA	NA	NA	NA	NA	NA
something	3	15997	200	1	F	Search	10.0465	N	107.496	-26.4132	NA	NA	NA	NA	NA	NA	NA
