setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	1	15921	200	4	M	Fight	25.2627	NA	74.9382	34.8271	2	F	Flee	27.7825	N	76.0794	26.8303
something	1	15922	200	3	M	Search	28.6811	NA	66.4882	29.9276	NA	NA	NA	NA	NA	NA	NA
something	1	15923	200	1	F	Stroll	14.2736	N	81.7626	31.8178	NA	NA	NA	NA	NA	NA	NA
something	1	15924	200	4	M	Stroll	25.2627	NA	74.259	34.0932	NA	NA	NA	NA	NA	NA	NA
something	1	15925	200	3	M	Search	28.6811	NA	65.4887	29.9592	NA	NA	NA	NA	NA	NA	NA
something	1	15926	200	1	F	Withdraw	14.2736	N	81.983	33.8056	2	F	None	27.7825	N	76.0794	26.8303
something	1	15927	200	4	M	Fight	25.7865	NA	74.5021	33.1232	2	F	Flee	27.2588	N	77.6602	25.6051
something	1	15928	200	3	M	Search	28.6811	NA	65.5203	30.9587	NA	NA	NA	NA	NA	NA	NA
something	1	15929	200	1	F	Search	14.2736	N	80.9891	33.9158	NA	NA	NA	NA	NA	NA	NA
something	1	15930	200	2	F	Search	27.2588	N	77.0476	24.8147	NA	NA	NA	NA	NA	NA	NA
something	1	15931	200	4	M	Fight	26.1428	NA	75.4947	33.2445	1	F	Flee	13.9173	N	82.9827	33.7563
something	1	15932	200	3	M	Search	28.6811	NA	66.5198	30.9271	NA	NA	NA	NA	NA	NA	NA
something	1	15933	200	2	F	Search	27.2588	N	77.838	24.2021	NA	NA	NA	NA	NA	NA	NA
something	1	15934	200	1	F	Search	13.9173	N	82.9029	32.7595	NA	NA	NA	NA	NA	NA	NA
something	1	15935	200	4	M	Fight	26.4902	NA	76.4926	33.1792	1	F	Flee	13.5699	N	84.5711	31.6563
something	1	15936	200	3	M	Stroll	28.6811	NA	67.2154	30.2087	NA	NA	NA	NA	NA	NA	NA
something	1	15937	200	2	F	Search	27.2588	N	78.4506	24.9926	NA	NA	NA	NA	NA	NA	NA
something	1	15938	200	1	F	Search	13.5699	N	84.0195	30.8222	NA	NA	NA	NA	NA	NA	NA
something	1	15939	200	4	M	Fight	26.829	NA	77.4469	32.8803	1	F	Flee	13.2312	N	85.527	29.5078
something	1	15940	200	3	M	Stroll	28.6811	NA	67.7096	29.3394	NA	NA	NA	NA	NA	NA	NA
something	1	15941	200	1	F	Search	13.2312	N	84.8699	28.7541	NA	NA	NA	NA	NA	NA	NA
something	1	15942	200	4	M	Stroll	26.829	NA	77.9381	33.7514	NA	NA	NA	NA	NA	NA	NA
something	1	15943	200	2	F	Groom	27.2588	N	78.4506	24.9926	1	F	Groomed	13.2312	N	84.8699	28.7541
something	1	15944	200	3	M	Stroll	28.6811	NA	68.2122	28.4748	NA	NA	NA	NA	NA	NA	NA
something	1	15945	200	4	M	Search	26.829	NA	78.8091	33.2602	NA	NA	NA	NA	NA	NA	NA
something	1	15946	200	1	F	Withdraw	13.2312	N	86.6751	29.6151	2	F	None	27.2588	N	78.4506	24.9926
something	1	15947	200	3	M	Stroll	28.6811	NA	69.1311	28.0805	NA	NA	NA	NA	NA	NA	NA
something	1	15948	200	4	M	Stroll	26.829	NA	79.7037	32.8132	NA	NA	NA	NA	NA	NA	NA
something	1	15949	200	2	F	Fight	27.6556	N	78.6088	25.98	4	M	Flee	26.4321	NA	78.9229	34.6545
something	1	15950	200	3	M	Stroll	28.6811	NA	69.9531	27.511	NA	NA	NA	NA	NA	NA	NA
something	1	15951	200	1	F	Search	13.2312	N	87.1056	28.7125	NA	NA	NA	NA	NA	NA	NA
something	1	15952	200	4	M	Search	26.4321	NA	78.0023	34.2641	NA	NA	NA	NA	NA	NA	NA
something	1	15953	200	2	F	Stroll	27.6556	N	79.5841	26.201	NA	NA	NA	NA	NA	NA	NA
something	1	15954	200	3	M	Stroll	28.6811	NA	70.5341	26.6971	NA	NA	NA	NA	NA	NA	NA
something	1	15955	200	1	F	Search	13.2312	N	88.0082	29.1429	NA	NA	NA	NA	NA	NA	NA
something	1	15956	200	4	M	Stroll	26.4321	NA	77.4535	33.4281	NA	NA	NA	NA	NA	NA	NA
something	1	15957	200	2	F	Stroll	27.6556	N	80.5813	26.2757	NA	NA	NA	NA	NA	NA	NA
something	1	15958	200	3	M	Stroll	28.6811	NA	71.498	26.4309	NA	NA	NA	NA	NA	NA	NA
something	1	15959	200	4	M	Fight	26.9434	NA	77.8542	32.5119	2	F	Flee	27.1443	N	82.4397	25.5366
something	1	15960	200	1	F	Search	13.2312	N	87.5777	30.0455	NA	NA	NA	NA	NA	NA	NA
something	1	15961	200	3	M	Stroll	28.6811	NA	72.4263	26.8027	NA	NA	NA	NA	NA	NA	NA
something	1	15962	200	2	F	Search	27.1443	N	82.8093	26.4658	NA	NA	NA	NA	NA	NA	NA
something	1	15963	200	1	F	Stroll	13.2312	N	86.7611	30.6227	NA	NA	NA	NA	NA	NA	NA
something	1	15964	200	3	M	Withdraw	28.6811	NA	70.4972	26.2752	4	M	None	26.9434	NA	77.8542	32.5119
something	1	15965	200	2	F	Withdraw	27.1443	N	80.8306	26.1745	1	F	None	13.2312	N	86.7611	30.6227
something	1	15966	200	4	M	Stroll	26.9434	NA	77.483	31.5833	NA	NA	NA	NA	NA	NA	NA
something	1	15967	200	1	F	Groom	13.2312	N	86.7611	30.6227	2	F	Groomed	27.1443	N	80.8306	26.1745
something	1	15968	200	3	M	Search	28.6811	NA	70.7609	25.3106	NA	NA	NA	NA	NA	NA	NA
something	1	15969	200	4	M	Flee	26.4453	NA	75.9685	32.8895	2	F	Fight	27.6424	N	80.3043	27.0248
something	1	15970	200	1	F	Groom	13.2312	N	86.7611	30.6227	2	F	Groomed	27.6424	N	80.3043	27.0248
something	1	15971	200	3	M	Search	28.6811	NA	69.7963	25.0469	NA	NA	NA	NA	NA	NA	NA
something	1	15972	200	4	M	Search	26.4453	NA	75.3154	32.1322	NA	NA	NA	NA	NA	NA	NA
something	1	15973	200	2	F	Fight	27.9014	N	81.1779	27.5115	1	F	Flee	12.9722	N	87.5524	32.4595
something	1	15974	200	3	M	Search	28.6811	NA	70.0601	24.0823	NA	NA	NA	NA	NA	NA	NA
something	1	15975	200	4	M	Stroll	26.4453	NA	74.6764	31.363	NA	NA	NA	NA	NA	NA	NA
something	1	15976	200	1	F	Search	12.9722	N	86.634	32.8552	NA	NA	NA	NA	NA	NA	NA
something	1	15977	200	2	F	Fight	28.1553	N	81.8923	28.2113	1	F	Flee	12.7183	N	88.2818	33.9887
something	1	15978	200	3	M	Search	28.6811	NA	69.0955	23.8185	NA	NA	NA	NA	NA	NA	NA
something	1	15979	200	4	M	Stroll	26.4453	NA	73.8738	30.7665	NA	NA	NA	NA	NA	NA	NA
something	1	15980	200	1	F	Search	12.7183	N	88.8486	33.1648	NA	NA	NA	NA	NA	NA	NA
something	1	15981	200	2	F	Stroll	28.1553	N	82.0043	29.205	NA	NA	NA	NA	NA	NA	NA
something	1	15982	200	3	M	Search	28.6811	NA	69.3592	22.8539	NA	NA	NA	NA	NA	NA	NA
something	1	15983	200	4	M	Stroll	26.4453	NA	72.8817	30.6407	NA	NA	NA	NA	NA	NA	NA
something	1	15984	200	1	F	Search	12.7183	N	88.0247	32.598	NA	NA	NA	NA	NA	NA	NA
something	1	15985	200	2	F	Flee	27.6042	N	81.1085	27.4168	1	F	Fight	13.2694	N	87.1535	32.107
something	1	15986	200	3	M	Search	28.6811	NA	68.3946	22.5902	NA	NA	NA	NA	NA	NA	NA
something	1	15987	200	4	M	Stroll	26.4453	NA	72.1745	29.9338	NA	NA	NA	NA	NA	NA	NA
something	1	15988	200	1	F	Flee	13.0097	N	88.1169	33.8597	2	F	Fight	27.8639	N	81.8985	28.0298
something	1	15989	200	3	M	Search	28.6811	NA	68.6584	21.6256	NA	NA	NA	NA	NA	NA	NA
