setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	5	15921	200	1	F	Fight	32.8706	N	16.9334	63.8172	2	F	Flee	6.21962	N	14.2036	55.9106
something	5	15922	200	3	M	Search	21.0237	NA	3.11888	74.1302	NA	NA	NA	NA	NA	NA	NA
something	5	15923	200	4	M	Search	35.8861	NA	3.48828	65.7325	NA	NA	NA	NA	NA	NA	NA
something	5	15924	200	2	F	Search	6.21962	N	13.372	56.466	NA	NA	NA	NA	NA	NA	NA
something	5	15925	200	1	F	Stroll	32.8706	N	16.0631	63.3247	NA	NA	NA	NA	NA	NA	NA
something	5	15926	200	3	M	Stroll	21.0237	NA	3.9028	73.5094	NA	NA	NA	NA	NA	NA	NA
something	5	15927	200	2	F	Stroll	6.21962	N	12.9652	57.3795	NA	NA	NA	NA	NA	NA	NA
something	5	15928	200	1	F	Fight	32.9979	N	15.601	62.4378	2	F	Flee	6.09233	N	12.4169	55.4561
something	5	15929	200	3	M	Flee	20.6543	NA	4.56136	75.3978	4	M	Fight	36.2555	NA	3.5415	66.7311
something	5	15930	200	2	F	Search	6.09233	N	11.4552	55.7303	NA	NA	NA	NA	NA	NA	NA
something	5	15931	200	1	F	Groom	32.9979	N	15.601	62.4378	2	F	Groomed	6.09233	N	11.4552	55.7303
something	5	15932	200	4	M	Stroll	36.2555	NA	4.10753	67.5555	NA	NA	NA	NA	NA	NA	NA
something	5	15933	200	2	F	Withdraw	6.09233	N	10.2854	54.1081	1	F	None	32.9979	N	15.601	62.4378
something	5	15934	200	3	M	Search	20.6543	NA	5.50559	75.0685	NA	NA	NA	NA	NA	NA	NA
something	5	15935	200	4	M	Flee	35.6184	NA	2.47225	66.404	3	M	Fight	21.2913	NA	5.32265	74.0854
something	5	15936	200	1	F	Stroll	32.9979	N	14.7016	62.0006	NA	NA	NA	NA	NA	NA	NA
something	5	15937	200	3	M	Stroll	21.2913	NA	4.43728	73.6205	NA	NA	NA	NA	NA	NA	NA
something	5	15938	200	2	F	Search	6.09233	N	11.0965	53.5232	NA	NA	NA	NA	NA	NA	NA
something	5	15939	200	1	F	Stroll	32.9979	N	13.745	62.292	NA	NA	NA	NA	NA	NA	NA
something	5	15940	200	4	M	Search	35.6184	NA	3.04799	65.5864	NA	NA	NA	NA	NA	NA	NA
something	5	15941	200	3	M	Stroll	21.2913	NA	3.95799	72.7429	NA	NA	NA	NA	NA	NA	NA
something	5	15942	200	2	F	Search	6.09233	N	11.6814	54.3343	NA	NA	NA	NA	NA	NA	NA
something	5	15943	200	1	F	Stroll	32.9979	N	13.2013	63.1313	NA	NA	NA	NA	NA	NA	NA
something	5	15944	200	3	M	Flee	20.9172	NA	5.1661	74.3368	4	M	Fight	35.9925	NA	3.17413	66.5784
something	5	15945	200	2	F	Stroll	6.09233	N	11.566	55.3276	NA	NA	NA	NA	NA	NA	NA
something	5	15946	200	4	M	Stroll	35.9925	NA	3.20572	67.5779	NA	NA	NA	NA	NA	NA	NA
something	5	15947	200	1	F	Stroll	32.9979	N	12.3951	63.7229	NA	NA	NA	NA	NA	NA	NA
something	5	15948	200	2	F	Stroll	6.09233	N	11.7443	56.3116	NA	NA	NA	NA	NA	NA	NA
something	5	15949	200	3	M	Search	20.9172	NA	4.36916	74.9408	NA	NA	NA	NA	NA	NA	NA
something	5	15950	200	4	M	Fight	36.3601	NA	3.3618	68.5657	3	M	Flee	20.5497	NA	4.11917	76.9251
something	5	15951	200	1	F	Stroll	32.9979	N	11.9664	64.6263	NA	NA	NA	NA	NA	NA	NA
something	5	15952	200	2	F	Stroll	6.09233	N	11.8039	57.3098	NA	NA	NA	NA	NA	NA	NA
something	5	15953	200	3	M	Search	20.5497	NA	3.12701	76.8001	NA	NA	NA	NA	NA	NA	NA
something	5	15954	200	4	M	Stroll	36.3601	NA	4.21107	69.0936	NA	NA	NA	NA	NA	NA	NA
something	5	15955	200	1	F	Stroll	32.9979	N	11.8961	65.6239	NA	NA	NA	NA	NA	NA	NA
something	5	15956	200	2	F	Stroll	6.09233	N	12.1124	58.261	NA	NA	NA	NA	NA	NA	NA
something	5	15957	200	3	M	Search	20.5497	NA	3.00201	77.7923	NA	NA	NA	NA	NA	NA	NA
something	5	15958	200	4	M	Stroll	36.3601	NA	5.20384	69.2136	NA	NA	NA	NA	NA	NA	NA
something	5	15959	200	2	F	Flee	5.96765	N	13.0719	56.5062	1	F	Fight	33.1226	N	11.9254	64.6243
something	5	15960	200	3	M	Search	20.5497	NA	2.00985	77.6673	NA	NA	NA	NA	NA	NA	NA
something	5	15961	200	4	M	Stroll	36.3601	NA	6.03781	69.7654	NA	NA	NA	NA	NA	NA	NA
something	5	15962	200	2	F	Search	5.96765	N	13.9493	56.986	NA	NA	NA	NA	NA	NA	NA
something	5	15963	200	3	M	Search	20.5497	NA	1.88486	78.6594	NA	NA	NA	NA	NA	NA	NA
something	5	15964	200	1	F	Flee	32.4447	N	12.8375	66.4043	2	F	Fight	6.64552	N	13.6932	57.9526
something	5	15965	200	4	M	Flee	35.8316	NA	4.89784	71.4088	1	F	Fight	32.9732	N	11.941	66.8474
something	5	15966	200	3	M	Search	20.5497	NA	2.87701	78.7844	NA	NA	NA	NA	NA	NA	NA
something	5	15967	200	2	F	Stroll	6.64552	N	13.0382	58.7083	NA	NA	NA	NA	NA	NA	NA
something	5	15968	200	4	M	Flee	35.1961	NA	4.63863	69.4256	3	M	Fight	21.1852	NA	3.14126	77.82
something	5	15969	200	1	F	Fight	33.3862	N	10.9981	67.1803	4	M	Flee	34.7831	NA	3.39567	70.9925
something	5	15970	200	2	F	Stroll	6.64552	N	12.6272	59.6199	NA	NA	NA	NA	NA	NA	NA
something	5	15971	200	3	M	Withdraw	21.1852	NA	3.43102	79.7989	4	M	None	34.7831	NA	3.39567	70.9925
something	5	15972	200	1	F	Stroll	33.3862	N	10.0633	66.8249	NA	NA	NA	NA	NA	NA	NA
something	5	15973	200	2	F	Withdraw	6.64552	N	13.9374	58.1088	1	F	None	33.3862	N	10.0633	66.8249
something	5	15974	200	3	M	Search	21.1852	NA	2.44157	79.9438	NA	NA	NA	NA	NA	NA	NA
something	5	15975	200	4	M	Stroll	34.7831	NA	2.68	71.6909	NA	NA	NA	NA	NA	NA	NA
something	5	15976	200	1	F	Stroll	33.3862	N	10.4163	65.8893	NA	NA	NA	NA	NA	NA	NA
something	5	15977	200	3	M	Search	21.1852	NA	2.29669	78.9543	NA	NA	NA	NA	NA	NA	NA
something	5	15978	200	4	M	Withdraw	34.7831	NA	1.9629	69.8239	3	M	None	21.1852	NA	2.29669	78.9543
something	5	15979	200	2	F	Search	6.64552	N	13.1818	57.4537	NA	NA	NA	NA	NA	NA	NA
something	5	15980	200	1	F	Stroll	33.3862	N	10.9549	65.0467	NA	NA	NA	NA	NA	NA	NA
something	5	15981	200	3	M	Stroll	21.1852	NA	2.54825	77.9865	NA	NA	NA	NA	NA	NA	NA
something	5	15982	200	2	F	Search	6.64552	N	12.5267	58.2093	NA	NA	NA	NA	NA	NA	NA
something	5	15983	200	1	F	Fight	33.519	N	11.1789	64.0721	2	F	Flee	6.51271	N	13.5545	56.4936
something	5	15984	200	4	M	Search	34.7831	NA	1.02939	70.1824	NA	NA	NA	NA	NA	NA	NA
something	5	15985	200	3	M	Withdraw	21.1852	NA	4.11606	79.2282	4	M	None	34.7831	NA	1.02939	70.1824
something	5	15986	200	2	F	Search	6.51271	N	12.6967	55.9797	NA	NA	NA	NA	NA	NA	NA
something	5	15987	200	1	F	Stroll	33.519	N	10.2436	63.7182	NA	NA	NA	NA	NA	NA	NA
something	5	15988	200	4	M	Stroll	34.7831	NA	0.476122	71.0154	NA	NA	NA	NA	NA	NA	NA
something	5	15989	200	2	F	Search	6.51271	N	13.2106	55.1218	NA	NA	NA	NA	NA	NA	NA
something	5	15990	200	1	F	Stroll	33.519	N	9.81774	62.8134	NA	NA	NA	NA	NA	NA	NA
something	5	15991	200	3	M	Search	21.1852	NA	3.49517	80.0121	NA	NA	NA	NA	NA	NA	NA
something	5	15992	200	2	F	Search	6.51271	N	12.3528	54.6079	NA	NA	NA	NA	NA	NA	NA
something	5	15993	200	4	M	Stroll	34.7831	NA	-0.334694	71.6007	NA	NA	NA	NA	NA	NA	NA
something	5	15994	200	1	F	Stroll	33.519	N	9.73339	61.817	NA	NA	NA	NA	NA	NA	NA
something	5	15995	200	3	M	Search	21.1852	NA	2.71127	79.3913	NA	NA	NA	NA	NA	NA	NA
something	5	15996	200	4	M	Search	34.7831	NA	0.250608	72.4116	NA	NA	NA	NA	NA	NA	NA
something	5	15997	200	2	F	Search	6.51271	N	11.8389	55.4658	NA	NA	NA	NA	NA	NA	NA
something	5	15998	200	1	F	Flee	32.8492	N	10.5386	63.6478	2	F	Fight	7.18256	N	11.5242	56.415
something	5	15999	200	3	M	Flee	20.8067	NA	2.38256	81.3641	4	M	Fight	35.1616	NA	0.583096	73.3547
something	5	16000	200	2	F	Withdraw	7.18256	N	12.6811	54.7835	1	F	None	32.8492	N	10.5386	63.6478
something	5	16001	201	4	M	Stroll	35.1616	NA	0.338748	74.3244	NA	NA	NA	NA	NA	NA	NA
something	5	16002	201	1	F	Stroll	32.8492	N	10.4741	62.6498	NA	NA	NA	NA	NA	NA	NA
something	5	16003	201	3	M	Search	20.8067	NA	1.39616	81.1997	NA	NA	NA	NA	NA	NA	NA
something	5	16004	201	4	M	Fight	35.5333	NA	0.490759	75.3127	3	M	Flee	20.4349	NA	1.2114	83.1912
something	5	16005	201	2	F	Search	7.18256	N	11.8654	54.2051	NA	NA	NA	NA	NA	NA	NA
something	5	16006	201	1	F	Stroll	32.8492	N	9.73368	61.9777	NA	NA	NA	NA	NA	NA	NA
