setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	5	15921	200	2	F	Stroll	12.9431	N	-87.8298	-18.4992	NA	NA	NA	NA	NA	NA	NA
something	5	15922	200	1	F	Withdraw	18.6269	N	-61.3815	-21.6856	3	M	None	22.2081	NA	-70.3312	-23.0203
something	5	15923	200	4	M	Stroll	40.1698	NA	-74.2077	-17.05	NA	NA	NA	NA	NA	NA	NA
something	5	15924	200	2	F	Stroll	12.9431	N	-86.9576	-18.01	NA	NA	NA	NA	NA	NA	NA
something	5	15925	200	3	M	Stroll	22.2081	NA	-69.3653	-22.7613	NA	NA	NA	NA	NA	NA	NA
something	5	15926	200	4	M	Withdraw	40.1698	NA	-74.1115	-15.0523	3	M	None	22.2081	NA	-69.3653	-22.7613
something	5	15927	200	2	F	Stroll	12.9431	N	-86.0004	-17.7204	NA	NA	NA	NA	NA	NA	NA
something	5	15928	200	1	F	Search	18.6269	N	-62.0373	-20.9306	NA	NA	NA	NA	NA	NA	NA
something	5	15929	200	3	M	Stroll	22.2081	NA	-69.9786	-21.9715	NA	NA	NA	NA	NA	NA	NA
something	5	15930	200	2	F	Stroll	12.9431	N	-85.0437	-17.4296	NA	NA	NA	NA	NA	NA	NA
something	5	15931	200	1	F	Stroll	18.6269	N	-62.8484	-20.3458	NA	NA	NA	NA	NA	NA	NA
something	5	15932	200	4	M	Search	40.1698	NA	-73.1126	-15.1004	NA	NA	NA	NA	NA	NA	NA
something	5	15933	200	2	F	Stroll	12.9431	N	-84.0707	-17.1987	NA	NA	NA	NA	NA	NA	NA
something	5	15934	200	3	M	Flee	21.8521	NA	-69.9891	-23.9715	4	M	Fight	40.5259	NA	-72.6976	-16.0102
something	5	15935	200	1	F	Stroll	18.6269	N	-63.8205	-20.1112	NA	NA	NA	NA	NA	NA	NA
something	5	15936	200	2	F	Stroll	12.9431	N	-83.0837	-17.038	NA	NA	NA	NA	NA	NA	NA
something	5	15937	200	3	M	Search	21.8521	NA	-70.9891	-23.9663	NA	NA	NA	NA	NA	NA	NA
something	5	15938	200	1	F	Stroll	18.6269	N	-64.8138	-19.9957	NA	NA	NA	NA	NA	NA	NA
something	5	15939	200	4	M	Stroll	40.5259	NA	-71.9491	-16.6734	NA	NA	NA	NA	NA	NA	NA
something	5	15940	200	2	F	Stroll	12.9431	N	-82.0902	-16.9241	NA	NA	NA	NA	NA	NA	NA
something	5	15941	200	1	F	Withdraw	18.6269	N	-63.317	-18.6692	3	M	None	21.8521	NA	-70.9891	-23.9663
something	5	15942	200	4	M	Fight	40.8762	NA	-71.8186	-17.6648	3	M	Flee	21.5017	NA	-71.5407	-25.8887
something	5	15943	200	2	F	Stroll	12.9431	N	-81.1149	-16.7033	NA	NA	NA	NA	NA	NA	NA
something	5	15944	200	1	F	Search	18.6269	N	-62.6538	-19.4176	NA	NA	NA	NA	NA	NA	NA
something	5	15945	200	3	M	Search	21.5017	NA	-70.5795	-26.1645	NA	NA	NA	NA	NA	NA	NA
something	5	15946	200	4	M	Stroll	40.8762	NA	-72.8088	-17.8043	NA	NA	NA	NA	NA	NA	NA
