setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	4	15921	200	2	F	Search	3.89233	N	155.856	-161.381	NA	NA	NA	NA	NA	NA	NA
something	4	15922	200	3	M	Flee	25.7813	NA	153.3	-149.023	4	M	Fight	46.5261	NA	160.899	-151.772
something	4	15923	200	1	F	Search	11.979	N	157.112	-142.509	NA	NA	NA	NA	NA	NA	NA
something	4	15924	200	2	F	Search	3.89233	N	156.785	-161.752	NA	NA	NA	NA	NA	NA	NA
something	4	15925	200	4	M	Stroll	46.5261	NA	159.906	-151.655	NA	NA	NA	NA	NA	NA	NA
something	4	15926	200	1	F	Groom	11.979	N	157.112	-142.509	3	M	Groomed	25.7813	NA	153.3	-149.023
something	4	15927	200	2	F	Search	3.89233	N	156.414	-162.681	NA	NA	NA	NA	NA	NA	NA
something	4	15928	200	4	M	Fight	46.8827	NA	158.977	-151.285	3	M	Flee	25.4248	NA	152.362	-147.257
something	4	15929	200	1	F	Groom	11.979	N	157.112	-142.509	3	M	Groomed	25.4248	NA	152.362	-147.257
something	4	15930	200	2	F	Search	3.89233	N	155.485	-162.31	NA	NA	NA	NA	NA	NA	NA
something	4	15931	200	4	M	Fight	47.2343	NA	158.123	-150.764	3	M	Flee	25.0731	NA	151.423	-145.491
something	4	15932	200	1	F	Withdraw	11.979	N	157.751	-140.614	3	M	None	25.0731	NA	151.423	-145.491
something	4	15933	200	2	F	Stroll	3.89233	N	154.877	-161.516	NA	NA	NA	NA	NA	NA	NA
something	4	15934	200	4	M	Stroll	47.2343	NA	158.514	-149.844	NA	NA	NA	NA	NA	NA	NA
something	4	15935	200	1	F	Search	11.979	N	158.698	-140.933	NA	NA	NA	NA	NA	NA	NA
something	4	15936	200	2	F	Stroll	3.89233	N	154.62	-160.55	NA	NA	NA	NA	NA	NA	NA
something	4	15937	200	3	M	Stroll	25.0731	NA	152.415	-145.366	NA	NA	NA	NA	NA	NA	NA
something	4	15938	200	1	F	Search	11.979	N	158.379	-141.881	NA	NA	NA	NA	NA	NA	NA
something	4	15939	200	2	F	Stroll	3.89233	N	153.935	-159.82	NA	NA	NA	NA	NA	NA	NA
something	4	15940	200	3	M	Withdraw	25.0731	NA	150.507	-145.964	1	F	None	11.979	N	158.379	-141.881
something	4	15941	200	4	M	Fight	47.4366	NA	158.497	-148.844	1	F	Flee	11.7767	N	157.045	-140.39
something	4	15942	200	2	F	Stroll	3.89233	N	153.741	-158.839	NA	NA	NA	NA	NA	NA	NA
something	4	15943	200	1	F	Search	11.7767	N	157.791	-139.723	NA	NA	NA	NA	NA	NA	NA
something	4	15944	200	4	M	Stroll	47.4366	NA	157.558	-148.499	NA	NA	NA	NA	NA	NA	NA
something	4	15945	200	2	F	Stroll	3.89233	N	153.594	-157.85	NA	NA	NA	NA	NA	NA	NA
something	4	15946	200	1	F	Search	11.7767	N	158.458	-140.468	NA	NA	NA	NA	NA	NA	NA
something	4	15947	200	3	M	Search	25.0731	NA	150.806	-146.918	NA	NA	NA	NA	NA	NA	NA
something	4	15948	200	4	M	Fight	47.7824	NA	156.585	-148.271	3	M	Flee	24.7274	NA	148.807	-146.852
something	4	15949	200	2	F	Stroll	3.89233	N	153.709	-156.857	NA	NA	NA	NA	NA	NA	NA
something	4	15950	200	1	F	Stroll	11.7767	N	159.355	-140.909	NA	NA	NA	NA	NA	NA	NA
something	4	15951	200	3	M	Search	24.7274	NA	148.774	-147.851	NA	NA	NA	NA	NA	NA	NA
something	4	15952	200	2	F	Stroll	3.89233	N	153.134	-156.039	NA	NA	NA	NA	NA	NA	NA
something	4	15953	200	1	F	Search	11.7767	N	158.915	-141.807	NA	NA	NA	NA	NA	NA	NA
something	4	15954	200	3	M	Stroll	24.7274	NA	149.139	-148.782	NA	NA	NA	NA	NA	NA	NA
something	4	15955	200	4	M	Flee	46.9801	NA	154.977	-149.461	1	F	Fight	12.5789	N	158.576	-142.748
something	4	15956	200	2	F	Withdraw	3.89233	N	151.498	-157.188	4	M	None	46.9801	NA	154.977	-149.461
something	4	15957	200	3	M	Stroll	24.7274	NA	149.936	-149.386	NA	NA	NA	NA	NA	NA	NA
something	4	15958	200	1	F	Flee	12.41	N	158.646	-140.749	4	M	Fight	47.1491	NA	155.449	-148.579
something	4	15959	200	2	F	Search	3.89233	N	150.923	-156.37	NA	NA	NA	NA	NA	NA	NA
something	4	15960	200	3	M	Fight	25.3833	NA	150.925	-149.241	4	M	Flee	46.4931	NA	157.13	-147.496
something	4	15961	200	1	F	Search	12.41	N	159.646	-140.784	NA	NA	NA	NA	NA	NA	NA
something	4	15962	200	2	F	Withdraw	3.89233	N	152.3	-157.82	3	M	None	25.3833	NA	150.925	-149.241
something	4	15963	200	4	M	Fight	46.7038	NA	157.481	-146.56	1	F	Flee	12.1993	N	160.792	-139.145
something	4	15964	200	3	M	Stroll	25.3833	NA	151.009	-150.238	NA	NA	NA	NA	NA	NA	NA
something	4	15965	200	1	F	Search	12.1993	N	159.972	-138.572	NA	NA	NA	NA	NA	NA	NA
something	4	15966	200	4	M	Stroll	46.7038	NA	158.48	-146.612	NA	NA	NA	NA	NA	NA	NA
something	4	15967	200	2	F	Search	3.89233	N	153.025	-157.132	NA	NA	NA	NA	NA	NA	NA
something	4	15968	200	3	M	Fight	25.5163	NA	151.289	-151.197	2	F	Flee	3.75937	N	154.31	-158.665
something	4	15969	200	1	F	Search	12.1993	N	160.545	-137.753	NA	NA	NA	NA	NA	NA	NA
something	4	15970	200	4	M	Search	46.7038	NA	158.532	-145.613	NA	NA	NA	NA	NA	NA	NA
something	4	15971	200	2	F	Search	3.75937	N	153.543	-159.307	NA	NA	NA	NA	NA	NA	NA
