setting	run	activation	period	actor.id	actor.sex	actor.behavior	actor.score	actor.oestrus	actor.x	actor.y	receiver.id	receiver.sex	receiver.behavior	receiver.score	receiver.oestrus	receiver.x	receiver.y
something	2	15921	200	3	M	Stroll	32.0349	NA	23.9644	10.221	NA	NA	NA	NA	NA	NA	NA
something	2	15922	200	1	F	Search	14.8161	N	20.3138	1.46566	NA	NA	NA	NA	NA	NA	NA
something	2	15923	200	4	M	Search	14.8619	NA	11.3213	7.58404	NA	NA	NA	NA	NA	NA	NA
something	2	15924	200	2	F	Search	34.2871	N	28.6449	16.836	NA	NA	NA	NA	NA	NA	NA
something	2	15925	200	3	M	Search	32.0349	NA	23.4279	9.37709	NA	NA	NA	NA	NA	NA	NA
something	2	15926	200	1	F	Stroll	14.8161	N	21.1251	2.05035	NA	NA	NA	NA	NA	NA	NA
something	2	15927	200	4	M	Search	14.8619	NA	11.9729	6.82547	NA	NA	NA	NA	NA	NA	NA
something	2	15928	200	2	F	Search	34.2871	N	29.2261	17.6498	NA	NA	NA	NA	NA	NA	NA
something	2	15929	200	3	M	Groom	32.0349	NA	23.4279	9.37709	1	F	Groomed	14.8161	N	21.1251	2.05035
something	2	15930	200	4	M	Stroll	14.8619	NA	12.5351	5.99849	NA	NA	NA	NA	NA	NA	NA
something	2	15931	200	2	F	Search	34.2871	N	28.4123	18.2309	NA	NA	NA	NA	NA	NA	NA
something	2	15932	200	3	M	Flee	31.3511	NA	23.3585	11.3759	1	F	Fight	15.4999	N	21.4249	3.00433
something	2	15933	200	4	M	Stroll	14.8619	NA	13.2072	5.258	NA	NA	NA	NA	NA	NA	NA
something	2	15934	200	2	F	Search	34.2871	N	28.9934	19.0447	NA	NA	NA	NA	NA	NA	NA
something	2	15935	200	3	M	Stroll	31.3511	NA	23.4645	12.3702	NA	NA	NA	NA	NA	NA	NA
something	2	15936	200	1	F	Stroll	15.4999	N	22.4079	2.82034	NA	NA	NA	NA	NA	NA	NA
something	2	15937	200	4	M	Stroll	14.8619	NA	13.9482	4.58649	NA	NA	NA	NA	NA	NA	NA
something	2	15938	200	2	F	Search	34.2871	N	29.8072	18.4636	NA	NA	NA	NA	NA	NA	NA
something	2	15939	200	3	M	Stroll	31.3511	NA	23.6916	13.3441	NA	NA	NA	NA	NA	NA	NA
something	2	15940	200	1	F	Search	15.4999	N	22.5919	3.80327	NA	NA	NA	NA	NA	NA	NA
something	2	15941	200	4	M	Stroll	14.8619	NA	14.9481	4.57637	NA	NA	NA	NA	NA	NA	NA
something	2	15942	200	2	F	Search	34.2871	N	30.3884	19.2773	NA	NA	NA	NA	NA	NA	NA
something	2	15943	200	3	M	Stroll	31.3511	NA	24.0947	14.2593	NA	NA	NA	NA	NA	NA	NA
something	2	15944	200	1	F	Stroll	15.4999	N	23.1416	4.63861	NA	NA	NA	NA	NA	NA	NA
something	2	15945	200	4	M	Stroll	14.8619	NA	15.9174	4.82233	NA	NA	NA	NA	NA	NA	NA
something	2	15946	200	2	F	Search	34.2871	N	29.5746	19.8585	NA	NA	NA	NA	NA	NA	NA
something	2	15947	200	3	M	Flee	30.8735	NA	22.6947	12.831	2	F	Fight	34.7647	N	28.8752	19.1438
something	2	15948	200	1	F	Stroll	15.4999	N	23.5509	5.55099	NA	NA	NA	NA	NA	NA	NA
something	2	15949	200	4	M	Fight	15.3724	NA	16.9129	4.91736	1	F	Flee	14.9894	N	25.5163	5.18049
something	2	15950	200	2	F	Stroll	34.7647	N	28.7056	18.1583	NA	NA	NA	NA	NA	NA	NA
something	2	15951	200	1	F	Search	14.9894	N	25.7016	6.16318	NA	NA	NA	NA	NA	NA	NA
something	2	15952	200	4	M	Stroll	15.3724	NA	17.0826	3.93186	NA	NA	NA	NA	NA	NA	NA
something	2	15953	200	3	M	Stroll	30.8735	NA	22.1748	11.9767	NA	NA	NA	NA	NA	NA	NA
something	2	15954	200	2	F	Stroll	34.7647	N	28.4933	17.1811	NA	NA	NA	NA	NA	NA	NA
something	2	15955	200	1	F	Withdraw	14.9894	N	26.8692	4.53944	3	M	None	30.8735	NA	22.1748	11.9767
something	2	15956	200	4	M	Search	15.3724	NA	18.0681	4.10158	NA	NA	NA	NA	NA	NA	NA
something	2	15957	200	2	F	Stroll	34.7647	N	28.3898	16.1865	NA	NA	NA	NA	NA	NA	NA
something	2	15958	200	1	F	Search	14.9894	N	27.6811	5.12328	NA	NA	NA	NA	NA	NA	NA
something	2	15959	200	4	M	Stroll	15.3724	NA	19.0356	3.84881	NA	NA	NA	NA	NA	NA	NA
something	2	15960	200	2	F	Withdraw	34.7647	N	29.4721	17.8684	3	M	None	30.8735	NA	22.1748	11.9767
something	2	15961	200	1	F	Stroll	14.9894	N	28.4288	5.78738	NA	NA	NA	NA	NA	NA	NA
something	2	15962	200	4	M	Stroll	15.3724	NA	19.8368	3.25038	NA	NA	NA	NA	NA	NA	NA
something	2	15963	200	3	M	Stroll	30.8735	NA	23.106	12.3412	NA	NA	NA	NA	NA	NA	NA
something	2	15964	200	1	F	Stroll	14.9894	N	28.9841	6.61897	NA	NA	NA	NA	NA	NA	NA
something	2	15965	200	4	M	Stroll	15.3724	NA	20.6115	2.618	NA	NA	NA	NA	NA	NA	NA
something	2	15966	200	3	M	Stroll	30.8735	NA	23.5816	13.2209	NA	NA	NA	NA	NA	NA	NA
something	2	15967	200	1	F	Stroll	14.9894	N	29.48	7.48735	NA	NA	NA	NA	NA	NA	NA
something	2	15968	200	4	M	Search	15.3724	NA	21.2438	3.39266	NA	NA	NA	NA	NA	NA	NA
something	2	15969	200	3	M	Fight	31.4031	NA	24.3666	13.8403	2	F	Flee	34.2351	N	31.0899	19.0442
something	2	15970	200	1	F	Stroll	14.9894	N	30.0839	8.28442	NA	NA	NA	NA	NA	NA	NA
something	2	15971	200	4	M	Stroll	15.3724	NA	22.2343	3.53058	NA	NA	NA	NA	NA	NA	NA
something	2	15972	200	3	M	Flee	30.7262	NA	24.2345	15.836	1	F	Fight	15.6663	N	29.3668	8.98133
something	2	15973	200	2	F	Search	34.2351	N	30.502	19.8531	NA	NA	NA	NA	NA	NA	NA
something	2	15974	200	4	M	Stroll	15.3724	NA	23.2233	3.38294	NA	NA	NA	NA	NA	NA	NA
something	2	15975	200	3	M	Search	30.7262	NA	23.2367	15.7699	NA	NA	NA	NA	NA	NA	NA
something	2	15976	200	2	F	Search	34.2351	N	31.3109	20.441	NA	NA	NA	NA	NA	NA	NA
something	2	15977	200	1	F	Stroll	15.6663	N	28.8425	9.83289	NA	NA	NA	NA	NA	NA	NA
something	2	15978	200	4	M	Stroll	15.3724	NA	23.8958	2.64287	NA	NA	NA	NA	NA	NA	NA
something	2	15979	200	2	F	Search	34.2351	N	30.723	21.25	NA	NA	NA	NA	NA	NA	NA
something	2	15980	200	3	M	Search	30.7262	NA	23.3028	14.7721	NA	NA	NA	NA	NA	NA	NA
something	2	15981	200	1	F	Groom	15.6663	N	28.8425	9.83289	3	M	Groomed	30.7262	NA	23.3028	14.7721
something	2	15982	200	4	M	Search	15.3724	NA	23.1558	1.97034	NA	NA	NA	NA	NA	NA	NA
something	2	15983	200	2	F	Search	34.2351	N	29.9141	20.662	NA	NA	NA	NA	NA	NA	NA
something	2	15984	200	3	M	Fight	31.0639	NA	24.0492	14.1066	1	F	Flee	15.3286	N	30.7483	9.22614
something	2	15985	200	4	M	Search	15.3724	NA	23.8283	1.23027	NA	NA	NA	NA	NA	NA	NA
something	2	15986	200	2	F	Stroll	34.2351	N	29.0677	20.1295	NA	NA	NA	NA	NA	NA	NA
something	2	15987	200	1	F	Search	15.3286	N	30.4449	8.27327	NA	NA	NA	NA	NA	NA	NA
something	2	15988	200	4	M	Search	15.3724	NA	24.5684	1.9028	NA	NA	NA	NA	NA	NA	NA
something	2	15989	200	3	M	Stroll	31.0639	NA	24.4015	13.1707	NA	NA	NA	NA	NA	NA	NA
something	2	15990	200	2	F	Stroll	34.2351	N	28.2631	19.5356	NA	NA	NA	NA	NA	NA	NA
something	2	15991	200	4	M	Stroll	15.3724	NA	25.551	2.08824	NA	NA	NA	NA	NA	NA	NA
something	2	15992	200	3	M	Withdraw	31.0639	NA	22.6157	14.0713	1	F	None	15.3286	N	30.4449	8.27327
something	2	15993	200	2	F	Flee	33.8157	N	29.7573	20.865	3	M	Fight	31.4833	NA	23.3344	14.7667
something	2	15994	200	4	M	Fight	15.8717	NA	26.1715	2.87244	1	F	Flee	14.8293	N	32.2771	9.07506
something	2	15995	200	3	M	Stroll	31.4833	NA	23.1482	15.7492	NA	NA	NA	NA	NA	NA	NA
something	2	15996	200	1	F	Search	14.8293	N	32.678	8.15894	NA	NA	NA	NA	NA	NA	NA
something	2	15997	200	4	M	Stroll	15.8717	NA	27.0536	2.40126	NA	NA	NA	NA	NA	NA	NA
something	2	15998	200	2	F	Search	33.8157	N	29.0926	21.6121	NA	NA	NA	NA	NA	NA	NA
something	2	15999	200	3	M	Stroll	31.4833	NA	23.1672	16.749	NA	NA	NA	NA	NA	NA	NA
something	2	16000	200	1	F	Search	14.8293	N	33.5942	8.55983	NA	NA	NA	NA	NA	NA	NA
something	2	16001	201	4	M	Search	15.8717	NA	26.5824	1.51922	NA	NA	NA	NA	NA	NA	NA
something	2	16002	201	2	F	Search	33.8157	N	29.8397	22.2768	NA	NA	NA	NA	NA	NA	NA
something	2	16003	201	3	M	Stroll	31.4833	NA	23.278	17.7428	NA	NA	NA	NA	NA	NA	NA
something	2	16004	201	1	F	Search	14.8293	N	33.9951	7.64371	NA	NA	NA	NA	NA	NA	NA
something	2	16005	201	4	M	Search	15.8717	NA	25.7003	1.99041	NA	NA	NA	NA	NA	NA	NA
something	2	16006	201	2	F	Search	33.8157	N	29.175	23.0239	NA	NA	NA	NA	NA	NA	NA
something	2	16007	201	3	M	Fight	32.0012	NA	24.0229	18.41	2	F	Flee	33.2978	N	30.3687	24.6286
something	2	16008	201	1	F	Search	14.8293	N	34.9112	8.0446	NA	NA	NA	NA	NA	NA	NA
something	2	16009	201	4	M	Stroll	15.8717	NA	24.7207	1.78987	NA	NA	NA	NA	NA	NA	NA
something	2	16010	201	2	F	Search	33.2978	N	31.1711	24.0318	NA	NA	NA	NA	NA	NA	NA
something	2	16011	201	1	F	Search	14.8293	N	34.5103	8.96073	NA	NA	NA	NA	NA	NA	NA
something	2	16012	201	3	M	Stroll	32.0012	NA	24.8449	17.8405	NA	NA	NA	NA	NA	NA	NA
something	2	16013	201	4	M	Search	15.8717	NA	24.9212	0.810181	NA	NA	NA	NA	NA	NA	NA
something	2	16014	201	1	F	Stroll	14.8293	N	33.6978	9.54375	NA	NA	NA	NA	NA	NA	NA
something	2	16015	201	2	F	Stroll	33.2978	N	31.7902	23.2465	NA	NA	NA	NA	NA	NA	NA
something	2	16016	201	4	M	Search	15.8717	NA	25.9009	1.01073	NA	NA	NA	NA	NA	NA	NA
something	2	16017	201	3	M	Stroll	32.0012	NA	25.3576	16.9819	NA	NA	NA	NA	NA	NA	NA
something	2	16018	201	2	F	Stroll	33.2978	N	31.7189	22.2491	NA	NA	NA	NA	NA	NA	NA
something	2	16019	201	4	M	Stroll	15.8717	NA	26.8239	1.39559	NA	NA	NA	NA	NA	NA	NA
something	2	16020	201	3	M	Stroll	32.0012	NA	25.1983	15.9947	NA	NA	NA	NA	NA	NA	NA
something	2	16021	201	2	F	Stroll	33.2978	N	31.2098	21.3883	NA	NA	NA	NA	NA	NA	NA
something	2	16022	201	4	M	Stroll	15.8717	NA	27.5902	2.038	NA	NA	NA	NA	NA	NA	NA
something	2	16023	201	3	M	Stroll	32.0012	NA	25.0601	15.0043	NA	NA	NA	NA	NA	NA	NA
something	2	16024	201	2	F	Stroll	33.2978	N	30.258	21.0817	NA	NA	NA	NA	NA	NA	NA
something	2	16025	201	1	F	Stroll	14.8293	N	33.3025	10.4623	NA	NA	NA	NA	NA	NA	NA
something	2	16026	201	4	M	Stroll	15.8717	NA	28.287	2.75532	NA	NA	NA	NA	NA	NA	NA
something	2	16027	201	2	F	Flee	32.8899	N	30.3205	23.0808	3	M	Fight	32.4091	NA	25.7101	15.7643
something	2	16028	201	1	F	Stroll	14.8293	N	33.613	11.4129	NA	NA	NA	NA	NA	NA	NA
something	2	16029	201	4	M	Stroll	15.8717	NA	28.8952	3.54909	NA	NA	NA	NA	NA	NA	NA
something	2	16030	201	2	F	Search	32.8899	N	31.32	23.0495	NA	NA	NA	NA	NA	NA	NA
something	2	16031	201	3	M	Stroll	32.4091	NA	26.7069	15.8441	NA	NA	NA	NA	NA	NA	NA
something	2	16032	201	4	M	Stroll	15.8717	NA	28.9913	4.54446	NA	NA	NA	NA	NA	NA	NA
something	2	16033	201	2	F	Search	32.8899	N	31.2888	22.05	NA	NA	NA	NA	NA	NA	NA
